Date,005930,000660,005380,005490,051910,035420,207940,105560,028260,055550,032830,012330,015760,034730,017670,018260,096770,051900,090430,066570,003550,086790,033780,011170,010950,006400,000270,000810,002790,034220,000030,010130,036570,035720,024110,139480,009540,009150,030200,004020,006800,021240,035250,018880,128940,008930,023530,161390,078930,032640,088350,009830,001040,086280,047810,004990,005830,071050,000720,005940,097950,004800,036460,002380,029780,001450,010060,009240,016360,012750,008770,010140,003490,000880,138930,028050,012630,000120,028670,004170,008560,007070,011780,011070,047050,026960,006280,000210,000100,007310,006260,204320,047040,069960,006360,042670,000150,030000,003410,010620,009420,006650,069620,010120,120110,005250,004370,004000,000670,114090,051600,161890,000240,003520,012450,034020,020150,001800,011790,011210,000080,001740,079160,005440,003240,017800,115390,057050,103140,064350,185750,111770,214320,005610,014820,192820,079550,003300,003000,000070,002350,005300,010780,001120,001230,006840,001430,105630,145990,069260,170900,093370,049770,001060,093050,001680,052690,073240,000640,005850,007570,108670,003620,020000,014680,029530,002270,025540,064960,019680,005180,060980,002240,025860,003030,079430,000990,096760,033920,001520,006120,009290,034120,003850,192400,003920,027410,036580,004490,002960,008060,014830,097230,000050
2017.02.08,341859,3552260,137000,263500,162108,77643,374070,1063559,258988,975180,168809,250943,1834378,84324,170012,57929,283783,48459,432359,1795800,246019,35850,338602,111121,269306,365423,790912,272000,244037,2019512,13450,291920,176126,269292,1351631,123929,127348,523030,862841,278987,3002777,108473,408029,1344362,81363,164332,37122,448043,168516,2756671,550738,25400,49670,119808,1167905,32077,169803,109685,408419,1194649,57045,287149,126840,40931,41200,505721,674893,211000,255260,59025,210825,1731855,242499,155583,879011,1271561,355940,50215,2384356,30142,2357698,131894,127126,199144,279692,29855,28641,133090,32027,8852,92322,214110,754736,93655,277671,943232,28603,367968,100899,92779,333623,22063,94929,73041,196430,82524,15943,58111,2611,198226,93411,124465,110453,1053529,316865,28400,534256,13740,90387,198995,130099,2703202,103910,16850,728,63296,13550,34608,138566,210079,57377,243250,30425,182500,13279,70921,236276,7424,47507,6554,134277,2316,59784,207230,313876,25582,52011,158201,9178,199065,92000,6810,7332,68525,28253,136221,29017,1159066,33455,94844,63948,76246,150975,51099,53876,8023,2665,13561,43650,44011,10534,202519,8525,8690,27512,80622,317099,54414,14891,2870,161663,84070,36435,28667,16379,463,83325,11500,17442,1243,47986,11729,695406,124381
2017.02.09,1911000,6547266,513611,247431,165764,102023,219373,768725,298986,1647779,166341,173981,1340311,55795,129338,94136,274207,61764,183543,1352533,364017,1023355,216012,94516,218319,422918,733510,50246,117000,1510874,1719521,161903,239732,1550608,1629090,206000,226837,667152,873237,446045,2964732,130283,430382,905700,72030,155566,44446,406027,195661,1548309,627914,687232,118243,149500,976335,207000,150951,94860,670986,1088304,41721,134601,235252,31586,80309,321972,253040,42827,464197,61000,400601,1351013,240182,34950,1307330,2768805,343576,66218,2135396,34492,1547262,148397,148003,246241,281656,28783,21375,183853,37531,6996,125365,90150,4746627,85358,480277,1603712,18901,354776,105098,85930,174429,30071,74445,42407,233679,54505,12933,112965,1311,19400,135954,77790,148294,770964,348659,835828,367640,16544,78726,151799,216792,2676044,204488,150369,618,56921,520654,41101,114436,387644,31496,27450,72967,11693,16701,42013,74754,5617,68286,7263,67328,1904,115317,148559,315089,21331,24450,115156,9081,275785,27366,488091,5519,67192,61555,159158,529464,2453862,126000,73159,59229,104000,75869,77859,60406,7420,2707,15486,58076,42671,11917,83513,7892,32222,11684,595145,530383,56692,18553,267008,157554,70220,25800,16976,9519,510,123912,69661,15135,1253,81728,6837,280946,35822
2017.02.10,220415,9120878,330000,251534,371551,67489,704753,1167564,276672,1294908,159880,156892,1357216,107940,174529,76147,294090,37056,191491,740823,611438,1072548,291733,167276,458979,409375,697370,65106,160503,1093140,910106,130435,162629,792741,957490,89289,186090,430606,1104977,411019,8830,191053,352672,591827,95880,160863,165488,280152,400745,3139701,802072,717025,75161,69145,1756205,34250,63900,182077,333035,835885,78725,187309,108540,22777,110604,208157,182067,217500,212014,149383,323843,1836468,405822,184208,2585406,1487984,225113,55507,4898119,36654,2189025,527343,173644,143035,271207,61837,15211,171037,51997,6877,291992,49380,2694168,218516,613352,3747294,17131,262045,180004,282976,268945,32808,113027,124407,134244,22300,32909,153679,851,281989,272775,187131,95183,992225,760896,674245,299501,17637,401664,123440,94465,1524627,314645,125009,663,300322,326000,45571,156290,297780,49597,660921,64636,14238,61455,63237,116272,17253,70040,8252,117426,1939,95650,119588,396500,53749,56788,519748,16439,288943,93816,1303439,23065,73903,21050,154254,25200,1627008,19045,139623,42647,85899,109150,351904,41580,8350,2014,10495,27850,40874,15031,42969,9837,61432,21503,474466,781730,74570,89569,397230,142140,128343,46563,11768,18942,386,641093,186941,15407,926,70730,10390,275986,26413
2017.02.13,222041,4124290,320997,303055,190988,788000,155500,852633,404042,661367,107622,147600,925406,63070,118014,79789,195054,48779,120845,1012067,226473,690153,257456,56720,390559,404699,529438,57629,92969,3381341,579008,115233,98995,397630,951362,102694,210924,426847,623623,240674,3779355,202271,262488,378612,59049,122409,87383,680691,211255,1732521,587890,1340792,179500,78721,1211610,27684,155836,97814,228876,920009,34232,126540,229874,24383,81686,225288,365846,45195,33550,66167,580239,10700,248072,128434,8860,2050854,158060,46005,4175,67145,4320906,180649,227131,179517,218872,41303,23728,99562,31105,9533,125216,75328,2434697,107569,29200,2723405,108000,290399,93652,123413,273571,291000,46838,44743,109658,54212,18841,104287,1701,218264,150950,321734,101836,783445,513395,932864,247240,11067,161660,86304,20500,1321895,82730,200972,606,153273,789318,28630,254454,183979,39041,541963,23863,19302,21146,90666,72224,8714,74848,8792,108150,3727,43633,127704,496944,23569,49757,911895,27769,88280,31168,549495,7253,149786,55408,107955,135022,1737201,17460,150315,37145,70320,88614,146850,75600,6253,1840,11264,33699,49376,11217,40296,8388,22852,19557,200668,223369,192051,34815,244734,133190,202630,21502,13065,8424,338,191702,11950,14261,615,59361,8641,262663,66504
2017.02.14,262483,8593878,295126,418131,242951,119907,150832,793792,219850,774627,166049,194602,1544097,99440,119947,126000,187895,29856,132735,720671,267209,35800,103000,60489,418131,397292,806443,82560,145660,1712915,1210255,69544,177240,427851,793295,109279,155807,340861,307251,448299,3551453,105815,314383,1909532,91662,164234,76297,740072,222260,1474671,609675,1433630,63720,83605,980663,24146,152226,130507,214287,1004541,53865,151502,100923,20223,136873,316075,196819,38054,130263,60446,485412,1050679,297848,133823,557973,1786438,289042,42715,3734127,53503,1617204,175465,263892,172043,174054,40343,15558,79149,188000,7864,114438,33946,1425775,108264,373441,1828108,24494,347006,83798,82712,146372,291500,53022,63304,94428,22350,21474,75107,1374,1364195,166950,580238,325455,1117312,474070,624749,409463,8311,118921,390283,20500,1106778,152325,349477,684,59700,517972,42698,245013,21300,42483,217478,17186,17908,10142,263143,69603,6901,46305,7133,389670,3085,42400,143765,771184,24946,154183,480149,20607,96412,32447,584424,6478,99167,54623,158501,185261,863625,18338,194961,50359,51839,95357,69303,79349,6180,2190,11719,45232,38634,10389,50449,13351,60277,110000,172875,923137,70731,49756,223906,135161,228087,32312,10666,14499,341,156584,93820,10399,689,69205,10340,204511,50038
2017.02.15,283831,8725221,682399,268692,229913,66435,130426,868180,125000,679196,93586,295158,1140620,79053,99862,127000,162273,27068,104259,899514,231203,35800,325551,80085,352052,359031,780660,85029,203515,2637807,13650,50492,88972,84100,4712661,114822,116109,382765,510723,355694,2324936,288904,209815,2746441,104730,232665,102861,575939,245667,1121402,6650,1325782,64042,108074,742413,35127,148419,119487,268222,846261,63395,217362,316443,20524,101074,208870,227815,37105,207049,56638,1192845,1152662,351461,152733,920424,1474618,356163,190723,4759461,88401,1607325,176920,108816,145675,135611,48515,63087,90787,162523,10878,98497,74742,3185984,196189,229559,1231782,24101,258134,68336,224722,539088,26252,63023,47067,80718,214943,11944,31800,2382,1063859,188261,462573,134665,2414782,377396,325973,231164,14373,98769,311107,160981,938307,103080,240798,810,120504,281009,41942,132870,113251,91326,206187,30204,34140,66700,250880,92234,13068,175622,108000,212778,1513000,43341,200601,472498,15370,75252,502060,15186,87336,72233,6900,8563,202618,21150,122108,149909,897251,31333,274213,108815,140333,7900,90566,44734,10250,1559,7254,29406,39164,9329,65868,13111,170086,17270,338213,969711,339545,23050,167917,169686,259784,39334,27163,32994,742000,144200,11900,12257,1331,67762,11258,240722,46142
2017.02.16,204527,4840918,991329,228560,322009,73821,132573,46550,366400,643389,240274,280064,1429471,68585,138170,168676,139434,27777,73914,727097,281993,711363,252051,131896,210469,385218,902586,357146,108905,1355675,1315693,49542,63776,569723,2747282,95780,133767,1451066,386675,273884,2508166,168064,774609,1115971,303000,60600,56102,248162,118048,1112806,572535,930825,71761,175550,742828,22251,278767,76393,191725,1000931,29373,199283,144582,33349,104695,1111194,287681,39053,159027,51858,521688,1050041,597523,170257,962617,1169341,287973,98341,4220516,42325,1383193,129757,211628,106000,26200,38507,144000,79125,102099,5591,83793,39611,914056,164830,284421,5649573,50541,18800,74381,89647,222246,54169,53103,54853,86464,128519,14939,80482,1267,437172,154843,250420,83030,1585327,288213,645424,381958,13807,149464,277618,110918,943339,99388,218023,823,123506,214133,25847,250991,235467,56056,151388,35608,25924,18759,139998,56265,78200,87835,6166,14000,2201,40355,135160,475777,13263,52009,221608,18358,87802,55116,468625,9229,99726,51834,85323,112129,549506,20001,135582,64026,71896,219926,43877,42659,6389,1892,12816,30736,53110,10106,27130,7978,71435,5720,200157,548852,120470,27089,321426,155896,156563,30426,17349,14007,338,148703,230585,9884,1747,86431,17991,172138,31908
2017.02.17,307549,4927937,148000,327039,162813,104341,192999,732670,604469,529877,241903,230870,1334587,111520,73384,102143,111775,29753,99613,795235,199484,844248,351712,76600,209306,231005,826736,113118,83768,1436569,758768,66881,146940,563691,984715,42321,149990,693416,418535,268089,2284402,158998,343438,809144,55100,129139,2679038,210258,114513,980350,343741,857616,172500,83219,379813,107753,213826,76682,295375,11350,21890,149812,105658,13946,68356,362503,160270,19254,322238,36399,3040653,1007063,611549,92420,8840,1596780,358398,49831,8508924,36212,913300,77412,126216,182632,97862,49741,145000,91331,78174,3859,65308,41511,699234,118500,206969,2957378,104000,241338,15550,84021,159210,21393,39952,42197,85046,186692,16915,63995,893,154973,357916,126944,53201,888064,296471,1454767,857182,27468,158150,172909,150849,816516,152270,103359,458,164980,15150,31736,101513,159428,216724,252666,15043,19910,10881,78540,52177,84771,41092,5808,143517,2114,40250,127691,12250,10694,34952,673778,12687,83872,20155,576100,7182,124276,52610,98481,94862,508252,20334,93933,45982,106500,129674,35613,26443,4013,2952,4532,46400,38694,6280,17165,7171,45399,20654,66464,496378,120083,12730,164311,69136,69209,25600,19777,8057,319,109521,207134,35400,2434,76330,6173,194307,19714
2017.02.20,149716,2265276,239916,195236,198672,75042,76203,793093,305838,616027,206103,149207,3577876,89786,224000,88080,212215,15585,81163,481297,170904,494179,251654,193074,169164,167762,489318,65113,106664,1231893,560219,67212,121866,294768,827115,203500,203106,547849,445728,231066,3896579,72380,282289,482523,54305,97566,208040,275973,134852,618040,410167,767520,46067,100812,555885,41405,83310,107130,281137,1833462,73822,112506,81449,11312,71035,210040,92700,35281,260293,48838,610772,1708593,615934,35250,670586,4174380,217098,26956,3735756,17992,1570811,87818,235674,321280,155114,25362,22410,74185,40940,5989,56181,17354,772600,98199,393227,1482334,33418,194489,96129,77456,225723,32440,38427,33097,85615,139554,11004,87747,1155,277132,221696,160433,83919,1211964,581260,918158,349034,16631,100335,98566,179518,534193,60892,16450,934,131454,143871,12939,103200,178596,82517,108239,59000,9846,14587,138000,49901,45013,42569,12355,165236,2343,30749,154024,457072,16755,46338,258850,7778,141305,19396,6930,8816,107638,55025,24000,88213,499495,17244,24700,27809,41173,123126,38855,38909,5650,1874,9487,42212,42510,6771,23234,15172,34150,18275,103192,294568,127551,33295,548988,80353,78419,29799,53100,6485,693,99100,169377,8858,3543,82714,7008,171284,70505
